FİNANSAL DURUM TABLOSU;2022;2023;2024;2025
Dönen Varlıklar;982090;1712378;2338684;2527702
Duran Varlıklar;600504;1146587;1569468;1681550
Varlıklar;1582594;2858965;3908152;4209252
Kısa Vadeli Yükümlülükler;1145655;1865813;2604653;2783616
Uzun Vadeli Yükümlülükler;189741;318880;444835;508858
Yükümlülükler;1335396;2184693;3049488;3292474
Ana Ortaklığa Ait Özkaynaklar;149353;404729;528635;574186
Ödenmiş Sermaye;2536;2536;2536;2536
Kontrol Gücü Olmayan Paylar;97845;269543;330029;342592
Toplam Özkaynaklar;247198;674272;858664;916778
Toplam Kaynaklar;1582594;2858965;3908152;4209252
KAR VEYA ZARAR VE DİĞER KAPSAMLI GELİR TABLOSU;2022;2023;2024;2025
Hasılat;733868;1219023;1611489;351591
Finans Sektörü Faaliyetleri Hasılatı;167989;385624;706418;186729
Toplam Hasılat;901857;1604647;2317907;538320
Satışların Maliyeti;-609386;-995950;-1386482;-296189
Finans Sektörü Faaliyetleri Maliyeti;-65636;-232050;-603590;-150046
Toplam Maliyet;-675022;;;-446235
Ticari Faaliyetlerden Brüt Kâr (Zarar);124482;223073;225007;55402
Finans Sektörü Faaliyetlerinden Brüt Kâr (Zarar);102353;153574;102828;36683
Brüt Kâr (Zarar);226835;376647;327835;92085
Esas Faaliyet Kârı (Zararı);149346;222656;87366;17485
Finansman Geliri (Gideri) Öncesi Faaliyet Kârı (Zararı);151802;223827;89869;17609
Sürdürülen Faaliyetler Vergi Öncesi Kârı (Zararı);134137;152695;26712;6670
Sürdürülen Faaliyetler Dönem Kârı (Zararı);118220;117733;-5288;-2989
Durdurulan Faaliyetler Dönem Kârı (Zararı);;;;
Net Dönem Kârı (Zararı);118220;117733;-5288;-2989
Dönem Kârının (Zararının) Dağılımı, Kontrol Gücü Olmayan Paylar;48414;45503;-6594;-1574
Dönem Kârının (Zararının) Dağılımı, Ana Ortaklık Payları;69806;72230;1306;-1415
Diğer Kapsamlı Gelir (Gider);18024;-29173;-54872;-8719
Toplam Kapsamlı Gelir (Gider);136244;88560;-60160;-11708
Toplam Kapsamlı Gelirin Dağılımı, Kontrol Gücü Olmayan Paylar;58150;34135;-31173;-4281
Toplam Kapsamlı Gelirin Dağılımı, Ana Ortaklık Payları;78094;54425;-28987;-7427
