FİNANSAL DURUM TABLOSU;2022;2023;2024;2025
Dönen Varlıklar;25174269;36987249;65110361;77284896
Duran Varlıklar;12684522;24602395;32327076;34994743
Toplam Varlıklar;37858791;61589644;97437437;112279639
Kısa Vadeli Yükümlülükler;16887346;15447492;28444403;33982563
Uzun Vadeli Yükümlülükler;13288953;26340179;35516935;39120533
Toplam Yükümlülükler;30176299;41787671;63961338;73103096
Ana Ortaklığa Ait Özkaynaklar;5685906;17971432;31282767;36650682
Ödenmiş Sermaye;342000;369276;369276;369276
Kontrol Gücü Olmayan Paylar;1996586;1830541;2193332;2525861
Toplam Özkaynaklar;7682492;19801973;33476099;39176543
Toplam Kaynaklar;37858791;61589644;97437437;112279639
KAR VEYA ZARAR VE DİĞER KAPSAMLI GELİR TABLOSU;2022;2023;2024;2025
Hasılat;28196847;55836141;84097908;26962317
Satışların Maliyeti;-19788330;-39659581;-59031548;-17946855
Ticari Faaliyetlerden Brüt Kar (Zarar);8408517;16176560;25066360;9015462
Brüt Kâr (Zarar);8408517;16176560;25066360;9015462
Esas Faaliyet Kârı (Zararı);5858897;10992915;14278207;5374605
Finansman Geliri (Gideri) Öncesi Faaliyet Kârı (Zararı);8132648;18197749;20123423;8189067
Sürdürülen Faaliyetler Vergi Öncesi Kârı (Zararı);81606;4777138;10965177;3458209
Sürdürülen Faaliyetler Dönem Kârı (Zararı);199520;4222764;8016106;2579045
Durdurulan Faaliyetler Dönem Kârı (Zararı);;;;
Net Dönem Kârı (Zararı);199520;4222764;8016106;2579045
Dönem Kârının (Zararının) Dağılımı, Kontrol Gücü Olmayan Paylar;552621;843886;615588;165677
Dönem Kârının (Zararının) Dağılımı, Ana Ortaklık Payları;-353101;3378878;7400518;2413368
Diğer Kapsamlı Gelir (Gider);3289702;135905;-2765082;-247223
Toplam Kapsamlı Gelir (Gider);3489222;4358669;5251024;2331822
Toplam Kapsamlı Gelirin Dağılımı, Kontrol Gücü Olmayan Paylar;790030;725345;-84810;111819
Toplam Kapsamlı Gelirin Dağılımı, Ana Ortaklık Payları;2699192;3633324;5335834;2220003
